agency_id,ikk_master_id
3,1
3,2
3,3
3,4
4,5
4,6
4,7
4,8
4,9
4,10
4,11
4,12
4,13
4,14
4,15
4,16
4,17
4,18
5,19
5,20
5,21
5,22
5,23
5,24
5,25
5,26
5,27
6,28
6,29
6,30
6,31
6,32
7,33
7,34
8,35
8,36
8,37
7,38
7,39
9,40
9,41
9,42
9,43
9,44
9,45
9,46
11,47
11,48
11,49
12,50
5,51
5,52
5,53
5,54
5,55
5,56
6,57
6,58
6,59
13,60
13,61
13,62
13,63
14,64
14,65
15,66
15,67
15,68
16,69
16,70
17,71
17,72
17,73
17,74
18,75
10,76
19,77
19,78
19,79
17,80
17,81
17,82
3,83
20,84
20,85
20,86
21,87
19,88
19,89
19,90
19,91
19,92
22,93
22,94
23,95
23,96
18,97
18,98
18,99
18,100
18,101
18,102
18,103
18,104
18,105
10,106
24,107
24,108
2,109
2,110
24,111
24,112
25,113
25,114
25,115
25,116
26,117
26,118
26,119
24,120
24,121
24,122
24,123
24,124
24,125